Year,Geography,Immig.,Dur. of unempl,Age group,Both sexes, Males, Females
2008,Canada,"          Established immigrants, 10+ years",   Duration unknown,55-64 years,0.0,0.0,0.0
2008,Canada,"          Established immigrants, 10+ years",   Duration unknown,65 years and over,0.0,0.0,0.0
2008,Canada,"          Established immigrants, 10+ years",   Duration unknown,15-29 years,1.6,0.0,0.0
2008,Canada,"          Established immigrants, 10+ years",   Duration unknown,25-64 years,4.2,1.7,2.5
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (no top-code),15 years and over,18.6,21.0,15.7
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (no top-code),15-24 years ,7.3,7.0,7.8
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (no top-code),25 years and over,20.3,23.3,16.8
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (no top-code),25-44 years,16.8,19.6,13.5
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (no top-code),45 years and over,22.8,25.8,19.1
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (no top-code),25-54 years,19.0,21.5,16.2
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (no top-code),55 years and over,24.0,27.7,18.6
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (no top-code),55-64 years,24.0,27.8,18.6
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (no top-code),65 years and over,23.8,27.2,0.0
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (no top-code),15-29 years,11.1,12.8,8.4
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (no top-code),25-64 years,20.2,23.2,16.8
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (top-code = 99 weeks),15 years and over,0.0,0.0,0.0
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (top-code = 99 weeks),15-24 years ,0.0,0.0,0.0
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (top-code = 99 weeks),25 years and over,0.0,0.0,0.0
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (top-code = 99 weeks),25-44 years,0.0,0.0,0.0
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (top-code = 99 weeks),45 years and over,0.0,0.0,0.0
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (top-code = 99 weeks),25-54 years,0.0,0.0,0.0
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (top-code = 99 weeks),55 years and over,0.0,0.0,0.0
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (top-code = 99 weeks),55-64 years,0.0,0.0,0.0
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (top-code = 99 weeks),65 years and over,0.0,0.0,0.0
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (top-code = 99 weeks),15-29 years,0.0,0.0,0.0
2008,Canada,"          Established immigrants, 10+ years",Average weeks unemployed (top-code = 99 weeks),25-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Total unemployed,15 years and over,20.4,10.9,9.5
2008,Canada,  Non-landed immigrants,Total unemployed,15-24 years ,5.5,3.1,2.5
2008,Canada,  Non-landed immigrants,Total unemployed,25 years and over,14.8,7.9,7.0
2008,Canada,  Non-landed immigrants,Total unemployed,25-44 years,10.8,5.8,5.0
2008,Canada,  Non-landed immigrants,Total unemployed,45 years and over,4.1,2.1,2.0
2008,Canada,  Non-landed immigrants,Total unemployed,25-54 years,13.0,7.1,5.9
2008,Canada,  Non-landed immigrants,Total unemployed,55 years and over,1.8,0.0,0.0
2008,Canada,  Non-landed immigrants,Total unemployed,55-64 years,1.8,0.0,0.0
2008,Canada,  Non-landed immigrants,Total unemployed,65 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Total unemployed,15-29 years,9.9,5.4,4.5
2008,Canada,  Non-landed immigrants,Total unemployed,25-64 years,14.8,7.8,7.0
2008,Canada,  Non-landed immigrants,   1 - 4 weeks,15 years and over,8.8,4.8,4.1
2008,Canada,  Non-landed immigrants,   1 - 4 weeks,15-24 years ,3.2,1.7,1.5
2008,Canada,  Non-landed immigrants,   1 - 4 weeks,25 years and over,5.6,3.1,2.6
2008,Canada,  Non-landed immigrants,   1 - 4 weeks,25-44 years,4.0,2.1,1.9
2008,Canada,  Non-landed immigrants,   1 - 4 weeks,45 years and over,1.6,0.0,0.0
2008,Canada,  Non-landed immigrants,   1 - 4 weeks,25-54 years,4.9,2.6,2.3
2008,Canada,  Non-landed immigrants,   1 - 4 weeks,55 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   1 - 4 weeks,55-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   1 - 4 weeks,65 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   1 - 4 weeks,15-29 years,5.1,2.8,2.3
2008,Canada,  Non-landed immigrants,   1 - 4 weeks,25-64 years,5.6,3.0,2.6
2008,Canada,  Non-landed immigrants,   5 - 13 weeks,15 years and over,5.7,3.2,2.5
2008,Canada,  Non-landed immigrants,   5 - 13 weeks,15-24 years ,1.6,0.0,0.0
2008,Canada,  Non-landed immigrants,   5 - 13 weeks,25 years and over,4.2,2.4,1.8
2008,Canada,  Non-landed immigrants,   5 - 13 weeks,25-44 years,3.5,2.0,1.6
2008,Canada,  Non-landed immigrants,   5 - 13 weeks,45 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   5 - 13 weeks,25-54 years,4.0,2.3,1.7
2008,Canada,  Non-landed immigrants,   5 - 13 weeks,55 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   5 - 13 weeks,55-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   5 - 13 weeks,65 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   5 - 13 weeks,15-29 years,3.0,1.7,0.0
2008,Canada,  Non-landed immigrants,   5 - 13 weeks,25-64 years,4.2,2.4,1.8
2008,Canada,  Non-landed immigrants,   14 - 25 weeks,15 years and over,3.1,1.5,1.6
2008,Canada,  Non-landed immigrants,   14 - 25 weeks,15-24 years ,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   14 - 25 weeks,25 years and over,2.8,0.0,1.5
2008,Canada,  Non-landed immigrants,   14 - 25 weeks,25-44 years,2.1,0.0,0.0
2008,Canada,  Non-landed immigrants,   14 - 25 weeks,45 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   14 - 25 weeks,25-54 years,2.4,0.0,0.0
2008,Canada,  Non-landed immigrants,   14 - 25 weeks,55 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   14 - 25 weeks,55-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   14 - 25 weeks,65 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   14 - 25 weeks,15-29 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   14 - 25 weeks,25-64 years,2.8,0.0,1.5
2008,Canada,  Non-landed immigrants,   26 weeks ,15 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   26 weeks ,15-24 years ,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   26 weeks ,25 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   26 weeks ,25-44 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   26 weeks ,45 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   26 weeks ,25-54 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   26 weeks ,55 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   26 weeks ,55-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   26 weeks ,65 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   26 weeks ,15-29 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   26 weeks ,25-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   27 weeks or more,15 years and over,1.6,0.0,0.0
2008,Canada,  Non-landed immigrants,   27 weeks or more,15-24 years ,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   27 weeks or more,25 years and over,1.5,0.0,0.0
2008,Canada,  Non-landed immigrants,   27 weeks or more,25-44 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   27 weeks or more,45 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   27 weeks or more,25-54 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   27 weeks or more,55 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   27 weeks or more,55-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   27 weeks or more,65 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   27 weeks or more,15-29 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   27 weeks or more,25-64 years,1.5,0.0,0.0
2008,Canada,  Non-landed immigrants,      27 - 51 weeks,15 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      27 - 51 weeks,15-24 years ,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      27 - 51 weeks,25 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      27 - 51 weeks,25-44 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      27 - 51 weeks,45 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      27 - 51 weeks,25-54 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      27 - 51 weeks,55 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      27 - 51 weeks,55-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      27 - 51 weeks,65 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      27 - 51 weeks,15-29 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      27 - 51 weeks,25-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      52 weeks,15 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      52 weeks,15-24 years ,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      52 weeks,25 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      52 weeks,25-44 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      52 weeks,45 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      52 weeks,25-54 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      52 weeks,55 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      52 weeks,55-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      52 weeks,65 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      52 weeks,15-29 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      52 weeks,25-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      53 weeks or more,15 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      53 weeks or more,15-24 years ,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      53 weeks or more,25 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      53 weeks or more,25-44 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      53 weeks or more,45 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      53 weeks or more,25-54 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      53 weeks or more,55 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      53 weeks or more,55-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      53 weeks or more,65 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      53 weeks or more,15-29 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,      53 weeks or more,25-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   Duration unknown,15 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   Duration unknown,15-24 years ,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   Duration unknown,25 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   Duration unknown,25-44 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   Duration unknown,45 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   Duration unknown,25-54 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   Duration unknown,55 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   Duration unknown,55-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   Duration unknown,65 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   Duration unknown,15-29 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,   Duration unknown,25-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (no top-code),15 years and over,10.8,10.9,10.7
2008,Canada,  Non-landed immigrants,Average weeks unemployed (no top-code),15-24 years ,5.3,5.1,5.6
2008,Canada,  Non-landed immigrants,Average weeks unemployed (no top-code),25 years and over,12.7,12.9,12.5
2008,Canada,  Non-landed immigrants,Average weeks unemployed (no top-code),25-44 years,11.6,12.0,11.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (no top-code),45 years and over,15.8,14.7,16.3
2008,Canada,  Non-landed immigrants,Average weeks unemployed (no top-code),25-54 years,12.2,12.8,11.4
2008,Canada,  Non-landed immigrants,Average weeks unemployed (no top-code),55 years and over,16.3,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (no top-code),55-64 years,17.1,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (no top-code),65 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (no top-code),15-29 years,7.5,7.2,7.9
2008,Canada,  Non-landed immigrants,Average weeks unemployed (no top-code),25-64 years,12.7,12.9,12.6
2008,Canada,  Non-landed immigrants,Average weeks unemployed (top-code = 99 weeks),15 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (top-code = 99 weeks),15-24 years ,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (top-code = 99 weeks),25 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (top-code = 99 weeks),25-44 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (top-code = 99 weeks),45 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (top-code = 99 weeks),25-54 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (top-code = 99 weeks),55 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (top-code = 99 weeks),55-64 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (top-code = 99 weeks),65 years and over,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (top-code = 99 weeks),15-29 years,0.0,0.0,0.0
2008,Canada,  Non-landed immigrants,Average weeks unemployed (top-code = 99 weeks),25-64 years,0.0,0.0,0.0
2008,Ontario,Total,Total unemployed,15 years and over,464.1,254.8,209.3
2008,Ontario,Total,Total unemployed,15-24 years ,155.6,87.4,68.2
2008,Ontario,Total,Total unemployed,25 years and over,308.6,167.5,141.1
2008,Ontario,Total,Total unemployed,25-44 years,170.0,91.0,79.0
2008,Ontario,Total,Total unemployed,45 years and over,138.5,76.4,62.1
2008,Ontario,Total,Total unemployed,25-54 years,255.1,137.3,117.8
2008,Ontario,Total,Total unemployed,55 years and over,53.5,30.2,23.3
2008,Ontario,Total,Total unemployed,55-64 years,48.9,27.3,21.6
2008,Ontario,Total,Total unemployed,65 years and over,4.6,2.8,1.7
2008,Ontario,Total,Total unemployed,15-29 years,201.9,112.9,89.0
2008,Ontario,Total,Total unemployed,25-64 years,304.0,164.6,139.4
2008,Ontario,Total,   1 - 4 weeks,15 years and over,181.1,97.8,83.3
2008,Ontario,Total,   1 - 4 weeks,15-24 years ,82.1,46.9,35.2
2008,Ontario,Total,   1 - 4 weeks,25 years and over,99.0,50.9,48.1
2008,Ontario,Total,   1 - 4 weeks,25-44 years,57.8,29.7,28.1
2008,Ontario,Total,   1 - 4 weeks,45 years and over,41.2,21.1,20.1
2008,Ontario,Total,   1 - 4 weeks,25-54 years,83.9,42.5,41.4
2008,Ontario,Total,   1 - 4 weeks,55 years and over,15.1,8.4,6.7
2008,Ontario,Total,   1 - 4 weeks,55-64 years,13.6,7.5,6.1
2008,Ontario,Total,   1 - 4 weeks,65 years and over,1.5,0.0,0.0
2008,Ontario,Total,   1 - 4 weeks,15-29 years,98.6,55.4,43.2
2008,Ontario,Total,   1 - 4 weeks,25-64 years,97.5,50.0,47.5
2008,Ontario,Total,   5 - 13 weeks,15 years and over,131.6,72.7,58.8
2008,Ontario,Total,   5 - 13 weeks,15-24 years ,43.9,24.6,19.3
2008,Ontario,Total,   5 - 13 weeks,25 years and over,87.7,48.1,39.5
2008,Ontario,Total,   5 - 13 weeks,25-44 years,51.5,27.4,24.1
2008,Ontario,Total,   5 - 13 weeks,45 years and over,36.2,20.8,15.5
2008,Ontario,Total,   5 - 13 weeks,25-54 years,74.7,40.7,34.0
2008,Ontario,Total,   5 - 13 weeks,55 years and over,13.0,7.4,5.5
2008,Ontario,Total,   5 - 13 weeks,55-64 years,11.9,6.7,5.2
2008,Ontario,Total,   5 - 13 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,Total,   5 - 13 weeks,15-29 years,58.3,32.4,25.9
2008,Ontario,Total,   5 - 13 weeks,25-64 years,86.6,47.4,39.2
2008,Ontario,Total,   14 - 25 weeks,15 years and over,66.1,35.9,30.2
2008,Ontario,Total,   14 - 25 weeks,15-24 years ,13.3,7.2,6.1
2008,Ontario,Total,   14 - 25 weeks,25 years and over,52.8,28.7,24.1
2008,Ontario,Total,   14 - 25 weeks,25-44 years,28.0,14.4,13.6
2008,Ontario,Total,   14 - 25 weeks,45 years and over,24.9,14.3,10.5
2008,Ontario,Total,   14 - 25 weeks,25-54 years,42.7,23.1,19.6
2008,Ontario,Total,   14 - 25 weeks,55 years and over,10.1,5.6,4.6
2008,Ontario,Total,   14 - 25 weeks,55-64 years,9.2,4.9,4.3
2008,Ontario,Total,   14 - 25 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,Total,   14 - 25 weeks,15-29 years,20.0,10.7,9.3
2008,Ontario,Total,   14 - 25 weeks,25-64 years,51.9,28.0,23.8
2008,Ontario,Total,   26 weeks ,15 years and over,4.4,2.5,1.9
2008,Ontario,Total,   26 weeks ,15-24 years ,0.0,0.0,0.0
2008,Ontario,Total,   26 weeks ,25 years and over,3.3,1.8,1.5
2008,Ontario,Total,   26 weeks ,25-44 years,1.9,0.0,0.0
2008,Ontario,Total,   26 weeks ,45 years and over,0.0,0.0,0.0
2008,Ontario,Total,   26 weeks ,25-54 years,2.7,0.0,0.0
2008,Ontario,Total,   26 weeks ,55 years and over,0.0,0.0,0.0
2008,Ontario,Total,   26 weeks ,55-64 years,0.0,0.0,0.0
2008,Ontario,Total,   26 weeks ,65 years and over,0.0,0.0,0.0
2008,Ontario,Total,   26 weeks ,15-29 years,1.6,0.0,0.0
2008,Ontario,Total,   26 weeks ,25-64 years,3.2,1.8,0.0
2008,Ontario,Total,   27 weeks or more,15 years and over,63.7,38.2,25.5
2008,Ontario,Total,   27 weeks or more,15-24 years ,8.3,4.4,3.9
2008,Ontario,Total,   27 weeks or more,25 years and over,55.4,33.8,21.7
2008,Ontario,Total,   27 weeks or more,25-44 years,25.0,16.5,8.5
2008,Ontario,Total,   27 weeks or more,45 years and over,30.4,17.3,13.1
2008,Ontario,Total,   27 weeks or more,25-54 years,42.8,26.4,16.4
2008,Ontario,Total,   27 weeks or more,55 years and over,12.6,7.4,5.3
2008,Ontario,Total,   27 weeks or more,55-64 years,11.7,6.9,4.8
2008,Ontario,Total,   27 weeks or more,65 years and over,0.0,0.0,0.0
2008,Ontario,Total,   27 weeks or more,15-29 years,15.0,9.4,5.5
2008,Ontario,Total,   27 weeks or more,25-64 years,54.5,33.3,21.2
2008,Ontario,Total,      27 - 51 weeks,15 years and over,31.4,18.6,12.8
2008,Ontario,Total,      27 - 51 weeks,15-24 years ,4.5,2.5,1.9
2008,Ontario,Total,      27 - 51 weeks,25 years and over,26.9,16.0,10.9
2008,Ontario,Total,      27 - 51 weeks,25-44 years,12.4,7.7,4.6
2008,Ontario,Total,      27 - 51 weeks,45 years and over,14.6,8.3,6.3
2008,Ontario,Total,      27 - 51 weeks,25-54 years,21.7,13.1,8.6
2008,Ontario,Total,      27 - 51 weeks,55 years and over,5.2,2.9,2.3
2008,Ontario,Total,      27 - 51 weeks,55-64 years,4.8,2.8,2.1
2008,Ontario,Total,      27 - 51 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,Total,      27 - 51 weeks,15-29 years,7.4,4.7,2.7
2008,Ontario,Total,      27 - 51 weeks,25-64 years,26.5,15.9,10.6
2008,Ontario,Total,      52 weeks,15 years and over,15.0,8.5,6.5
2008,Ontario,Total,      52 weeks,15-24 years ,2.5,0.0,0.0
2008,Ontario,Total,      52 weeks,25 years and over,12.5,7.1,5.4
2008,Ontario,Total,      52 weeks,25-44 years,6.4,4.0,2.4
2008,Ontario,Total,      52 weeks,45 years and over,6.1,3.1,3.0
2008,Ontario,Total,      52 weeks,25-54 years,9.8,6.0,3.8
2008,Ontario,Total,      52 weeks,55 years and over,2.7,0.0,1.6
2008,Ontario,Total,      52 weeks,55-64 years,2.5,0.0,1.5
2008,Ontario,Total,      52 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,Total,      52 weeks,15-29 years,4.4,2.5,1.8
2008,Ontario,Total,      52 weeks,25-64 years,12.3,7.0,5.3
2008,Ontario,Total,      53 weeks or more,15 years and over,17.3,11.1,6.2
2008,Ontario,Total,      53 weeks or more,15-24 years ,0.0,0.0,0.0
2008,Ontario,Total,      53 weeks or more,25 years and over,16.0,10.6,5.4
2008,Ontario,Total,      53 weeks or more,25-44 years,6.3,4.7,1.5
2008,Ontario,Total,      53 weeks or more,45 years and over,9.8,5.9,3.9
2008,Ontario,Total,      53 weeks or more,25-54 years,11.3,7.3,4.0
2008,Ontario,Total,      53 weeks or more,55 years and over,4.7,3.3,0.0
2008,Ontario,Total,      53 weeks or more,55-64 years,4.4,3.1,0.0
2008,Ontario,Total,      53 weeks or more,65 years and over,0.0,0.0,0.0
2008,Ontario,Total,      53 weeks or more,15-29 years,3.2,2.2,0.0
2008,Ontario,Total,      53 weeks or more,25-64 years,15.7,10.4,5.3
2008,Ontario,Total,   Duration unknown,15 years and over,17.2,7.8,9.4
2008,Ontario,Total,   Duration unknown,15-24 years ,6.8,3.6,3.3
2008,Ontario,Total,   Duration unknown,25 years and over,10.3,4.2,6.1
2008,Ontario,Total,   Duration unknown,25-44 years,5.9,2.2,3.7
2008,Ontario,Total,   Duration unknown,45 years and over,4.5,2.0,2.5
2008,Ontario,Total,   Duration unknown,25-54 years,8.3,3.2,5.1
2008,Ontario,Total,   Duration unknown,55 years and over,2.1,0.0,0.0
2008,Ontario,Total,   Duration unknown,55-64 years,2.1,0.0,0.0
2008,Ontario,Total,   Duration unknown,65 years and over,0.0,0.0,0.0
2008,Ontario,Total,   Duration unknown,15-29 years,8.4,4.1,4.3
2008,Ontario,Total,   Duration unknown,25-64 years,10.3,4.2,6.1
2008,Ontario,Total,Average weeks unemployed (no top-code),15 years and over,14.8,15.8,13.6
2008,Ontario,Total,Average weeks unemployed (no top-code),15-24 years ,8.4,8.1,8.7
2008,Ontario,Total,Average weeks unemployed (no top-code),25 years and over,18.0,19.7,16.0
2008,Ontario,Total,Average weeks unemployed (no top-code),25-44 years,15.6,17.7,13.1
2008,Ontario,Total,Average weeks unemployed (no top-code),45 years and over,20.9,22.0,19.6
2008,Ontario,Total,Average weeks unemployed (no top-code),25-54 years,17.0,18.5,15.1
2008,Ontario,Total,Average weeks unemployed (no top-code),55 years and over,22.8,24.9,20.1
2008,Ontario,Total,Average weeks unemployed (no top-code),55-64 years,23.1,25.3,20.4
2008,Ontario,Total,Average weeks unemployed (no top-code),65 years and over,19.8,22.4,16.8
2008,Ontario,Total,Average weeks unemployed (no top-code),15-29 years,9.9,10.3,9.3
2008,Ontario,Total,Average weeks unemployed (no top-code),25-64 years,18.0,19.6,16.0
2008,Ontario,Total,Average weeks unemployed (top-code = 99 weeks),15 years and over,14.0,14.6,13.2
2008,Ontario,Total,Average weeks unemployed (top-code = 99 weeks),15-24 years ,8.3,8.1,8.6
2008,Ontario,Total,Average weeks unemployed (top-code = 99 weeks),25 years and over,16.8,18.0,15.3
2008,Ontario,Total,Average weeks unemployed (top-code = 99 weeks),25-44 years,14.9,16.6,12.9
2008,Ontario,Total,Average weeks unemployed (top-code = 99 weeks),45 years and over,19.1,19.7,18.3
2008,Ontario,Total,Average weeks unemployed (top-code = 99 weeks),25-54 years,15.9,17.1,14.5
2008,Ontario,Total,Average weeks unemployed (top-code = 99 weeks),55 years and over,20.8,21.9,19.4
2008,Ontario,Total,Average weeks unemployed (top-code = 99 weeks),55-64 years,21.0,22.1,19.7
2008,Ontario,Total,Average weeks unemployed (top-code = 99 weeks),65 years and over,18.6,20.3,16.8
2008,Ontario,Total,Average weeks unemployed (top-code = 99 weeks),15-29 years,9.8,10.2,9.3
2008,Ontario,Total,Average weeks unemployed (top-code = 99 weeks),25-64 years,16.8,18.0,15.3
2008,Ontario,  Born in Canada,Total unemployed,15 years and over,300.5,171.5,129.0
2008,Ontario,  Born in Canada,Total unemployed,15-24 years ,126.1,71.2,54.9
2008,Ontario,  Born in Canada,Total unemployed,25 years and over,174.4,100.3,74.1
2008,Ontario,  Born in Canada,Total unemployed,25-44 years,97.8,56.5,41.3
2008,Ontario,  Born in Canada,Total unemployed,45 years and over,76.6,43.8,32.8
2008,Ontario,  Born in Canada,Total unemployed,25-54 years,145.6,84.1,61.5
2008,Ontario,  Born in Canada,Total unemployed,55 years and over,28.8,16.2,12.7
2008,Ontario,  Born in Canada,Total unemployed,55-64 years,26.2,14.7,11.5
2008,Ontario,  Born in Canada,Total unemployed,65 years and over,2.7,1.5,0.0
2008,Ontario,  Born in Canada,Total unemployed,15-29 years,156.0,88.7,67.4
2008,Ontario,  Born in Canada,Total unemployed,25-64 years,171.8,98.8,73.0
2008,Ontario,  Born in Canada,   1 - 4 weeks,15 years and over,122.6,69.0,53.6
2008,Ontario,  Born in Canada,   1 - 4 weeks,15-24 years ,65.9,37.1,28.9
2008,Ontario,  Born in Canada,   1 - 4 weeks,25 years and over,56.7,31.9,24.8
2008,Ontario,  Born in Canada,   1 - 4 weeks,25-44 years,34.3,19.4,14.9
2008,Ontario,  Born in Canada,   1 - 4 weeks,45 years and over,22.4,12.6,9.8
2008,Ontario,  Born in Canada,   1 - 4 weeks,25-54 years,48.8,27.1,21.7
2008,Ontario,  Born in Canada,   1 - 4 weeks,55 years and over,7.9,4.8,3.1
2008,Ontario,  Born in Canada,   1 - 4 weeks,55-64 years,7.1,4.3,2.8
2008,Ontario,  Born in Canada,   1 - 4 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   1 - 4 weeks,15-29 years,77.1,43.4,33.7
2008,Ontario,  Born in Canada,   1 - 4 weeks,25-64 years,55.9,31.4,24.5
2008,Ontario,  Born in Canada,   5 - 13 weeks,15 years and over,85.7,49.0,36.6
2008,Ontario,  Born in Canada,   5 - 13 weeks,15-24 years ,36.0,20.4,15.6
